,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_win,away_win,home_loss,away_loss,draw
7407,1969-11-11,Singapore,India,7.0,3.0,Friendly,Kallang,Singapore,Not Neutral Ground,1,0,0,1,0
7408,1969-11-12,Congo,Guinea,1.0,1.0,Friendly,Brazzaville,Congo,Not Neutral Ground,0,0,0,0,1
7411,1969-11-13,Guatemala,Norway,1.0,3.0,Friendly,Guatemala,Guatemala,Not Neutral Ground,0,1,1,0,0
7414,1969-11-16,Romania,Greece,1.0,1.0,FIFA World Cup qualification,Bucharest,Romania,Not Neutral Ground,0,0,0,0,1
7415,1969-11-16,Turkey,Russia,1.0,3.0,FIFA World Cup qualification,Istanbul,Turkey,Not Neutral Ground,0,1,1,0,0
7416,1969-11-18,Iraq,Poland,1.0,1.0,Friendly,Baghdad,Iraq,Not Neutral Ground,0,0,0,0,1
7422,1969-11-22,DR Congo,Zambia,10.0,1.0,Friendly,Kinshasa,DR Congo,Not Neutral Ground,1,0,0,1,0
7424,1969-11-22,Italy,German DR,3.0,0.0,FIFA World Cup qualification,Naples,Italy,Not Neutral Ground,1,0,0,1,0
7428,1969-11-23,Zimbabwe,Australia,1.0,1.0,FIFA World Cup qualification,Maputo,Mozambique,Neutral Ground,0,0,0,0,1
7434,1969-11-27,Australia,Zimbabwe,0.0,0.0,FIFA World Cup qualification,Maputo,Mozambique,Neutral Ground,0,0,0,0,1
7441,1969-11-29,Zimbabwe,Australia,1.0,3.0,FIFA World Cup qualification,Maputo,Mozambique,Neutral Ground,0,1,1,0,0
7444,1969-12-01,Malawi,Zimbabwe,2.0,2.0,Friendly,Blantyre,Malawi,Not Neutral Ground,0,0,0,0,1
7447,1969-12-03,Czechoslovakia,Hungary,4.0,1.0,FIFA World Cup qualification,Marseille,France,Neutral Ground,1,0,0,1,0
7449,1969-12-04,Israel,Australia,1.0,0.0,FIFA World Cup qualification,Ramat-Gan,Israel,Not Neutral Ground,1,0,0,1,0
7452,1969-12-05,Algeria,North Korea,1.0,3.0,Friendly,Algiers,Algeria,Not Neutral Ground,0,1,1,0,0
7456,1969-12-07,Luxembourg,Bulgaria,1.0,3.0,FIFA World Cup qualification,Luxembourg,Luxembourg,Not Neutral Ground,0,1,1,0,0
7457,1969-12-08,Iraq,German DR,1.0,1.0,Friendly,Baghdad,Iraq,Not Neutral Ground,0,0,0,0,1
7458,1969-12-10,England,Portugal,1.0,0.0,Friendly,London,England,Not Neutral Ground,1,0,0,1,0
7459,1969-12-14,Australia,Israel,1.0,1.0,FIFA World Cup qualification,Sydney,Australia,Not Neutral Ground,0,0,0,0,1
7460,1969-12-14,DR Congo,Nigeria,5.0,0.0,Friendly,Kinshasa,DR Congo,Not Neutral Ground,1,0,0,1,0
7461,1969-12-19,Egypt,German DR,1.0,3.0,Friendly,Cairo,Egypt,Not Neutral Ground,0,1,1,0,0
7462,1969-12-28,Morocco,Bulgaria,3.0,0.0,Friendly,Casablanca,Morocco,Not Neutral Ground,1,0,0,1,0
7463,1970-01-04,Malta,Luxembourg,1.0,1.0,Friendly,Gżira,Malta,Not Neutral Ground,0,0,0,0,1
7464,1970-01-14,England,Netherlands,0.0,0.0,Friendly,London,England,Not Neutral Ground,0,0,0,0,1
7465,1970-01-28,Israel,Netherlands,0.0,1.0,Friendly,Jaffa,Israel,Not Neutral Ground,0,1,1,0,0
7466,1970-02-04,Peru,Czechoslovakia,0.0,2.0,Friendly,Lima,Peru,Not Neutral Ground,0,1,1,0,0
7467,1970-02-06,Cameroon,Ivory Coast,3.0,2.0,African Cup of Nations,Khartoum,Sudan,Neutral Ground,1,0,0,1,0
7468,1970-02-06,Sudan,Ethiopia,3.0,0.0,African Cup of Nations,Khartoum,Sudan,Not Neutral Ground,1,0,0,1,0
7469,1970-02-07,DR Congo,Ghana,0.0,2.0,African Cup of Nations,Wad Madani,Sudan,Neutral Ground,0,1,1,0,0
7470,1970-02-07,Egypt,Guinea,4.0,1.0,African Cup of Nations,Wad Madani,Sudan,Neutral Ground,1,0,0,1,0
7471,1970-02-07,Peru,Czechoslovakia,2.0,1.0,Friendly,Lima,Peru,Not Neutral Ground,1,0,0,1,0
7472,1970-02-08,Cameroon,Ethiopia,3.0,2.0,African Cup of Nations,Khartoum,Sudan,Neutral Ground,1,0,0,1,0
7473,1970-02-08,Sudan,Ivory Coast,0.0,1.0,African Cup of Nations,Khartoum,Sudan,Not Neutral Ground,0,1,1,0,0
